tanggal,kategori,region,harga_satuan,unit_terjual,diskon_persen,pendapatan_kotor,pendapatan_bersih
2025-01-01,Fashion,Bandung,242409.0,10,0.21,2424085.0,1915027.0
2025-01-02,Buku,Jakarta,111460.0,11,0.1,1226058.0,1103452.0
2025-01-03,Olahraga,Jakarta,398061.0,8,0.2,3184485.0,2547588.0
2025-01-04,Makanan,Surabaya,74480.0,6,0.12,446879.0,393254.0
2025-01-05,Elektronik,Bandung,1271857.0,8,0.23,10174858.0,7834641.0
2025-01-06,Elektronik,Medan,1734316.0,11,0.14,19077480.0,16406633.0
2025-01-07,Elektronik,Batam,1556155.0,11,0.12,17117710.0,15063585.0
2025-01-08,Buku,Batam,128597.0,4,0.28,514388.0,370359.0
2025-01-09,Makanan,Medan,89253.0,12,0.08,1071042.0,985358.0
2025-01-10,Olahraga,Surabaya,449720.0,10,0.04,4497196.0,4317308.0
2025-01-11,Elektronik,Batam,1252152.0,10,0.18,12521522.0,10267648.0
2025-01-12,Buku,Bandung,121781.0,10,0.29,1217811.0,864646.0
2025-01-13,Olahraga,Surabaya,465631.0,11,0.11,5121945.0,4558531.0
2025-01-14,Elektronik,Bandung,1647264.0,7,0.02,11530846.0,11300229.0
2025-01-15,Elektronik,Jakarta,1458996.0,11,0.1,16048953.0,14444058.0
2025-01-16,Elektronik,Surabaya,1276548.0,15,0.15,19148223.0,16275989.0
2025-01-17,Fashion,Batam,274053.0,9,0.05,2466478.0,2343154.0
2025-01-18,Makanan,Surabaya,75619.0,12,0.2,907424.0,725939.0
2025-01-19,Fashion,Surabaya,317510.0,8,0.3,2540081.0,1778056.0
2025-01-20,Fashion,Surabaya,308493.0,6,0.14,1850960.0,1591826.0
2025-01-21,Makanan,Surabaya,75395.0,8,0.11,603161.0,536813.0
2025-01-22,Elektronik,Bandung,1791909.0,10,0.12,17919091.0,15768801.0
2025-01-23,Fashion,Jakarta,312693.0,9,0.03,2814237.0,2729810.0
2025-01-24,Fashion,Medan,268467.0,11,0.26,2953139.0,2185323.0
2025-01-25,Fashion,Surabaya,252214.0,10,0.12,2522139.0,2219482.0
2025-01-26,Olahraga,Batam,387515.0,10,0.12,3875146.0,3410129.0
2025-01-27,Elektronik,Surabaya,1347575.0,6,0.2,8085448.0,6468358.0
2025-01-28,Makanan,Batam,69142.0,6,0.13,414851.0,360920.0
2025-01-29,Makanan,Bandung,69970.0,9,0.19,629731.0,510082.0
2025-01-30,Elektronik,Batam,1371057.0,9,0.02,12339514.0,12092724.0
2025-01-31,Makanan,Medan,69548.0,4,0.24,278192.0,211426.0
2025-02-01,Elektronik,Jakarta,1738059.0,5,0.28,8690296.0,6257013.0
2025-02-02,Elektronik,Batam,1248140.0,9,0.19,11233262.0,9098942.0
2025-02-03,Buku,Batam,121177.0,10,0.29,1211765.0,860353.0
2025-02-04,Buku,Jakarta,115699.0,9,0.05,1041291.0,989227.0
2025-02-05,Olahraga,Medan,536828.0,9,0.14,4831453.0,4155050.0
2025-02-06,Fashion,Surabaya,253445.0,10,0.18,2534447.0,2078246.0
2025-02-07,Elektronik,Batam,1438713.0,8,0.17,11509707.0,9553057.0
2025-02-08,Makanan,Jakarta,95023.0,12,0.12,1140277.0,1003443.0
2025-02-09,Fashion,Bandung,343861.0,11,0.1,3782469.0,3404222.0
2025-02-10,Elektronik,Jakarta,1690243.0,11,0.04,18592676.0,17848969.0
2025-02-11,Fashion,Bandung,270948.0,10,0.12,2709483.0,2384345.0
2025-02-12,Elektronik,Medan,1302533.0,7,0.05,9117728.0,8661841.0
2025-02-13,Buku,Surabaya,128095.0,6,0.22,768569.0,599484.0
2025-02-14,Fashion,Jakarta,351525.0,10,0.06,3515251.0,3304336.0
2025-02-15,Makanan,Batam,81816.0,7,0.02,572715.0,561261.0
2025-02-16,Fashion,Medan,308594.0,6,0.17,1851561.0,1536796.0
2025-02-17,Makanan,Jakarta,72959.0,9,0.18,656634.0,538440.0
2025-02-18,Makanan,Batam,88624.0,10,0.26,886238.0,655816.0
2025-02-19,Elektronik,Jakarta,1312226.0,13,0.17,17058941.0,14158921.0
2025-02-20,Buku,Bandung,111537.0,9,0.1,1003829.0,903446.0
2025-02-21,Olahraga,Jakarta,436579.0,15,0.24,6548678.0,4976996.0
2025-02-22,Buku,Jakarta,120365.0,4,0.16,481461.0,404427.0
2025-02-23,Buku,Jakarta,107636.0,7,0.02,753450.0,738381.0
2025-02-24,Makanan,Medan,67675.0,9,0.17,609073.0,505531.0
2025-02-25,Buku,Jakarta,125310.0,11,0.27,1378407.0,1006237.0
2025-02-26,Elektronik,Batam,1373178.0,5,0.12,6865892.0,6041985.0
2025-02-27,Elektronik,Bandung,1548743.0,7,0.09,10841201.0,9865492.0
2025-02-28,Elektronik,Bandung,1292618.0,10,0.04,12926176.0,12409129.0
2025-03-01,Fashion,Jakarta,297737.0,8,0.05,2381894.0,2262800.0
2025-03-02,Fashion,Medan,303911.0,12,0.13,3646929.0,3172828.0
2025-03-03,Fashion,Medan,246219.0,12,0.18,2954626.0,2422793.0
